Category,Keyword,categ_kw_cosinesim
Apparel,clock dials faces,0.7666088918444874
Apparel,dessous erotik,0.7759668637403248
Apparel,fashion for senior ladies,0.8185817679842622
Apparel,größentabelle inch cm,0.7367363204338823
Apparel,how do i measure for bra size,0.7203055365429569
Apparel,ladies dresses petite,0.7958778671876867
Apparel,measure hat size chart,0.735382441782775
Apparel,monsoon dresses for women,0.790701948843673
Apparel,month birthstone colors,0.7237397348472414
Apparel,months and their birthstones,0.7289169614152361
Apparel,norma prospekte aktuelle angebote,0.7365993933146218
Apparel,older woman dresses,0.8278391483147243
Apparel,panera full menu,0.7389133341364615
Apparel,schuhgröse,0.7648784154915659
Apparel,seamless underwear sets,0.7983785077691593
Apparel,silberschmuck reinigen mit alufolie,0.7239419285857429
Apparel,smart dresses for wedding,0.8058826194404127
Apparel,sosandar women's clothing,0.8067854444132624
Apparel,symbole wäschezeichen,0.7582520430912759
Apparel,tchibo de online shop,0.7633976494761072
Apparel,transparent bikini swimwear,0.7765226573242155
Apparel,waltham serial numbers,0.6451396481080812
Apparel,wedding ladies trouser suit,0.8061595894672393
Apparel,wedding outfits mother groom,0.8152417026225866
Apparel,zoggs childrens swimwear,0.764468106415349
Arts and Entertainment,+SAT1 +de +live,
Arts and Entertainment,+catholic +mass +live +online +streaming,0.7770380437043847
Arts and Entertainment,+goodguys +show,0.7736341262938773
Arts and Entertainment,+peliculas +cristianas +en +español,0.7746974658437676
Arts and Entertainment,+rtl +streamen +live,0.761542036473622
Arts and Entertainment,accordions,0.7799298585161626
Arts and Entertainment,ard medietek,0.7907868978439312
Arts and Entertainment,arte tv sendung,0.776073771550142
Arts and Entertainment,bbc new live today,0.7467989610837494
Arts and Entertainment,best coconut pie ever,0.7249498830051024
Arts and Entertainment,best deviled eggs ever,0.7177532309724589
Arts and Entertainment,best movie downloading sites,0.7532934690598371
Arts and Entertainment,best way to stop a nose bleed,0.691538133196389
Arts and Entertainment,chosen season 2 episode 1,0.7319759036425773
Arts and Entertainment,cocomelon kids songs,0.7214249381210761
Arts and Entertainment,conferencia mañanera en vivo,0.7325593612442398
Arts and Entertainment,dahoam is dahoam sendung verpaßt,0.7276255813860902
Arts and Entertainment,dance mom episodes full,0.7312177527307981
Arts and Entertainment,downloadmusic,0.7826601475916156
Arts and Entertainment,downlode music for free,0.7708880392181597
Arts and Entertainment,five two love scott family quintuplets,0.7501658328477668
Arts and Entertainment,flash mob dancing,0.7705441558019501
Arts and Entertainment,free downloades music,0.7865396812136386
Arts and Entertainment,free downlodable music,0.7879529575768349
Arts and Entertainment,free lyrics to print out,0.748944596553895
Arts and Entertainment,free lyrics to songs to print,0.74967726957543
